Name,Alias,Abbreviation,"Latitude, Longitude",Altitude,Alternate Entrances,Location Type,Address,Informative Text,Image
Parking Garage I,Garage I,PGI,"28.60121670630944, -81.2055530482021",0,,Parking,4277 GEMINI BLVD. W.,"Parking Garage I, built in 1997, provides multi-level parking on the campus. Its construction aimed to alleviate parking challenges and enhance campus accessibility, offering convenience to students, faculty, and visitors.",
Parking Garage Libra,,LG,"28.596611616715162, -81.19652461835422",0,,Parking,3820 LIBRA DR.,"Parking Garage Libra, constructed in 2014, offers essential parking facilities for the Libra community on campus. It was built to address the growing demand for parking and enhance accessibility in this area.",
Parking Lot D1,,,"28.603639519180284, -81.19776574366745",0,,Parking,,"UCF Parking Lot D1, established as an open parking area, has provided spaces for students and faculty.",
Pavilion,,,"28.600751782770175, -81.20246019470311",0,,Other,,There are dark secrets underneath...,
Performing Arts - Music,School of Performing Arts Music,PAC,"28.601921493106953, -81.20409554129768",0,,Building,12488 CENTAURUS BLVD.,The School of Performing Arts Music Building is a dedicated facility at UCF for music education and performance. It enhances the School's mission of fostering musical talent and creativity.,https://www.ucf.edu/wp-content/blogs.dir/20/files/2010/12/pacut.jpg
Performing Arts - Theatre,School of Performing Arts Theatre,PAC,"28.602761270429763, -81.20413127959054",0,,Building,12488 CENTAURUS BLVD.,"The UCF School of Performing Arts Theatre Building, established in 2011, is a state-of-the-art facility at the University of Central Florida. It is designed to support the development and performance of theatrical arts, enriching the educational experience for students and the cultural landscape of the campus.",https://performingarts.cah.ucf.edu/wp-content/uploads/sites/20/2020/08/header-building-theatre-1600x500.jpg
Physical Sciences,PHYSICAL SCIENCES BUILDING,PSB,"28.599783856989813, -81.19795587044852",0,,Building,4111 LIBRA DR.,"In 2010, UCF's Physical Science Building was constructed near the Libra Residence Community and the Health Center to accommodate physics and chemistry students who were previously sharing older facilities. It earned LEED Gold certification for its environmentally-friendly construction practices.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/PS_121.jpg
Psychology Building,"Psychology,Psych",PSY,"28.6046558808212, -81.19948467018138",0,,Building,4111 PICTOR LN.,"The Psychology Building, constructed in 2007, houses the psychology and philosophy departments, serving thousands of students. It features classrooms, research labs, offices, and a clinic for social phobia treatment. The department secures substantial research funding, including a $3.5 million grant for treating veterans with Post-Traumatic Stress Disorder.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b99.jpg
Public Safety Building,,UPD,"28.59207368778896, -81.1958715186959",0,,Building,3610 LIBRA DR.,"In June 1990, a $500,000, 7,000 sq. ft. building was constructed for the parking and traffic division. In 2010, the police department moved to a new $10 million, 34,000 sq. ft. multi-story building with modern amenities, including holding cells and conference rooms, strategically located near Academic Village Residence Halls and Research Parkway.",https://www.chw-inc.com/wp-content/uploads/2019/05/UCF-Public-Safety-Center.jpg
Reading Center,MORGRIDGE INT'L READING CENTER,MIRC,"28.598529383759168, -81.20454646695478",0,,Building,4143 ANDROMEDA LOOP N.,"The Morgridge International Reading Center, generously funded by John and Carrie Morgridge, is a 15,000 sq. ft., $5.2 million facility. It serves as a hub for literacy promotion through communication, collaboration, learning, and research. The Florida Literacy and International Reading Faculty Fellows (FLaIR) program is housed there, along with other professional development opportunities and events.",https://stars.library.ucf.edu/context/libscua_exhibit_photos/article/1109/type/native/viewcontent
Rec Support,RECREATION SUPPORT BUILDING,RSB,"28.593426721822915, -81.200553425509",0,,Building,12625 SCHOLARSHIP DR.,"The Recreation Support Building provides support for UCF's recreational programs, including sports equipment storage.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/PESP_25.jpg
Recreation and Wellness Center,"Rec and Welness Center,Recreational and Wellness Center,RECREATION AND WELLNESS CNTR",RWC,"28.596189707175515, -81.19928125655521",0,,Building,12800 GEMINI BLVD. S.,"The Recreation and Wellness Center opened in 2002 with 84,000 square feet, but has since undergone renovations and expanded to 150,000 square feet with improved facilities such as intramural fields, a covered pool, and a climbing tower. The original building, built in 1969, was much smaller at 11,712 square feet and featured tennis, badminton, volleyball, and basketball courts, as well as a pool and locker building.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/rwc_b88.jpg
Recreation Service Pavilion,"RECREATION SRVCS. SOCCER FIELD,RECREATION SRVCS. FIELD MAINT.,RECREATION SRVCS FIELD RESTRM",RSP,"28.591965168104235, -81.20340767556131",0,,Other,12677 SCHOLARSHIP DR.,Provides a place to rest in the midst of the recreational fields.,https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/RSP_318.jpg
Reflecting Pond,Reflection Pond,RP,"28.599646955317635, -81.20194021253593",0,,Other,,"The Reflection Pond, built in the 1970s, was once used for recreational purposes, including swimming and football games. It's now famous for the annual Homecoming Spirit Splash event, a cherished UCF tradition since 1995.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b_pond.jpg
Rehearsal Hall,,RH,"28.601456779546258, -81.20231827969228",0,,Building,12784 AQUARIUS AGORA DR.,"The Rehearsal Hall serves as a state-of-the-art facility for music and theatre rehearsals and performances at the UCF, enhancing the arts and cultural experiences on campus.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b19.jpg
Research I,RESEARCH PAVILION,R1,"28.602303918874565, -81.19757087610519",0,,Building,4353 SCORPIUS ST.,"Research 1, constructed in 2017, signifies the university's commitment to research and innovation. It houses cutting-edge laboratories and academic offices, supporting UCF's growth as a prominent research institution.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/R1A-sm.jpg
Robinson Observatory,,OBSV,"28.591688140187298, -81.1906317433107",0,,Other,12727 ARA DR.,The Robinson Observatory serves as a vital facility for astronomy research and public education at UCF. It offers stargazing opportunities and fosters a deeper understanding of the cosmos.,https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b74.jpg
ROTC Center,,ROTC,"28.60403743085974, -81.19969686339324",0,,Other,12650 GEMINI BLVD. N.,The ROTC Center has been a hub for military training and leadership development at UCF. It supports the education and preparation of future military officers.,https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/rotc-1.jpg
Smoothie King,,,"28.60166082607302, -81.2005115596437",0,,Restaurant,12715 PEGASUS CIR.,Smoothie King is attached to the Student Union on the side nearest to the Library. It is often visited on the hot Wednesday Market Days.,
Stadium Plaza,,,"28.60893100013761, -81.19441187020136",0,,Other,,"The Stadium Plaza is a vibrant gathering space outside the university's FBC Mortgage Stadium, hosting pre-game festivities, tailgating, and fan engagement events. It enhances the game day experience for UCF Knights football fans.",
Starbucks,,,"28.60346892989208, -81.1990448087834",0,,Restaurant,,"The Starbucks provides a familiar haven for coffee enthusiasts and students. It serves a variety of beverages and snacks, enhancing the university's social and study environment.",https://pbs.twimg.com/media/Bn7hjFdIIAEFlRc.jpg:large
Student Union,"Ballroom,Union","STUN,SU","28.601927704512025, -81.20044219923692",0,,Building,12715 PEGASUS DR.,"The UCF Student Union, conceived in 1989, faced location debates but was built in 1997. It now houses dining, shops, student org offices, and event spaces, with unique features like a green roof and a Pegasus seal, a beloved superstition.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b52.jpg
Student Union Boardwalk,,,"28.603150031967694, -81.19961104405651",0,,Other,,"The boardwalk located at the heart of campus serves as a central pedestrian pathway. It connects different areas of the UCF campus, providing a convenient and picturesque route for students and visitors.",
Student Union Plaza,,,"28.601461765083737, -81.20057682766034",0,,Other,,"A vibrant hub at the center of campus, offering open spaces, outdoor seating, and serves as a focal point for gatherings and events, enhancing the social and community atmosphere at UCF.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b52.jpg
Teaching Academy,,TA,"28.599269826063914, -81.20393807248908",0,,Building,4221 ANDROMEDA LOOP N.,"Opened in 2003, the $11 million UCF Teaching Academy trains educators and supports lifelong learning. It houses programs like the Toni Jennings Exceptional Educational Institute, HAPPY Hour for professional development, and the Lockheed Martin/UCF Academy for Mathematics and Science to improve education in central Florida.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b93.jpg
Technology Commons,"Tech Commons,TECHNOLOGY COMMONS I,TECHNOLOGY COMMONS II","TC1,TC2","28.600628295659384, -81.20056938737433",0,,Building,12710 PEGASUS DR.,"Technology Commons 1 and 2, constructed in 1970 and 1982, serve growing student and technological needs, connected by a walkway.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b13.jpg
The Celeste Hotel,,HOTL,"28.599117717270385, -81.20702778469109",0,,Building,4105 N. ALAFAYA TRL.,The Celeste is a Marriot hotel opened in 2020 to house visiting families and other visitors to the college. An upscale attached restaurant with bar evokes the glamour of a big city while being directly on-campus.,https://thecelestehotel.com/wp-content/uploads/2019/12/Celeste-Hotel-Exterior-Hero-Aerial-Crop-V3-reduced.jpg
The Pop Parlour,,PP,"28.60690360097107, -81.19697770312983",0,,Restaurant,4214 E. PLAZA DR.,"The Pop Parlour at UCF is a campus dessert shop, offering a variety of handcrafted gourmet popsicles. It's a popular spot for students and visitors to enjoy delicious frozen treats at UCF.",https://s3-media0.fl.yelpcdn.com/bphoto/2RYn1GQfHggKxZSfzgsd6w/348s.jpg
The Venue,,,"28.60761324890935, -81.19646595409354",0,,Other,12793 GEMINI BLVD. N.,"The Venue, inaugurated in 2007, was designed as a versatile event space for UCF. It hosts concerts, sports events, and conferences, contributing to the university's vibrant campus life.",https://media.bizj.us/view/img/12092043/img9006*1200xx4032-2268-0-378.jpg
Theatre,Theater,TH,"28.600250931358676, -81.19972885248099",0,,Building,12722 PEGASUS DR.,"Florida Technological University Theatre, founded in 1969 as a tent, expanded into a program in 1981. A $1.2 million renovation in 1983 added a black box theatre and various degrees. In 2001, it partnered with the Civic Theatre to create The Orlando Repertory Theatre and introduced an MFA course in Theater for Young Audiences in 2004.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b6.jpg
Topper's Creamery,,,"28.599319853837645, -81.20138762783928",0,,Restaurant,4000 CENTRAL FLORIDA BLVD.,"Toppers is directly next to the pond and at the junction between the library, the math building, and the outermost ring of campus. This makes it a great spot to stop for a cold treat and relax around the Pond after studying.",https://s3-media0.fl.yelpcdn.com/bphoto/PEhZkCbHMXm2_I9LjJDDoQ/348s.jpg
Trevor Coulburn Hall,,TCH,"28.601803417630773, -81.20273217690858",0,,Building,12796 AQUARIUS AGORA DR.,"Trevor Colbourn Hall, named in honor of the university's second president. This building serves as a significant academic facility, housing various departments and classrooms, contributing to UCF's growth and educational excellence.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/tch_3.jpg
UCF Global,"Global UCF,Global",GB,"28.60490041426916, -81.19812886527886",0,,Building,4356 SCORPIUS ST.,"UCF Globa is the University of Central Florida's international division, serving as a gateway for global students and enhancing the university's international presence through education, research, and collaboration.",https://provost.ucf.edu/news/wp-content/uploads/sites/3/2020/06/UCF-Global.jpg
UCF Knight Statue,,,"28.606177272769592, -81.19836713641264",0,,Other,12676 GEMINI BLVD. N.,"The UCF Knight Statue stands proudly near the Alumni Center. It symbolizes UCF's school spirit and growth, with alumni and friends contributing to its creation. The statue remains a cherished symbol of the university community.",https://pbs.twimg.com/media/FpSXm-GaMAAuBAK.jpg:large
UCF Tower 1,TOWER 1,T1,"28.608057128722287, -81.1983879370068",0,,Building,4274 W. PLAZA DR.,"The Towers residence halls were constructed in 2007, and are located in Knights Plaza. Tower 1 is located adjacent to the arena, as well as near the 7-Eleven and most of the quick-service restaurants in Knights Plaza.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b129.jpg
UCF Tower 2,TOWER 2,T2,"28.60965130205132, -81.19747297482945",0,,Building,4290 W. PLAZA DR.,"Tower 2, constructed in 2007, is a vital component of the University of Central Florida's on-campus housing. It accommodates a diverse student population, contributing to campus life and fostering a sense of community.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b130.jpg
UCF Tower 3,TOWER 3,T3,"28.606765283374354, -81.19672438343007",0,,Building,4211 E. PLAZA DR.,"The Towers, built in 2007 at Knights Plaza, offer apartment-style dorms with kitchens and separate bedrooms. Tower 3 houses Burnett Honors students and features businesses near the entrance, including a UCF merchandise store, an Amazon Locker, and Burger U, enhancing the campus experience.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/T3.jpg
UCF Tower 4,TOWER 4,T4,"28.605537147084103, -81.19575862356433",0,,Building,4291 MENSA LN.,Tower 4 was established to provide on-campus housing tailored to the unique needs of student-athletes. It enhances their academic and athletic pursuits while fostering a strong sense of community.,https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b133.jpg
UCF Veterans Memorial,VETERANS COMMEMORATIVE,VC,"28.60359648504184, -81.19942689607869",0,,Other,,The UCF Veterans Memorial was dedicated in 2010 to honor veterans and commemorate their service and sacrifices. It serves as a solemn and meaningful place of reflection and gratitude on the University of Central Florida campus.,https://www.housing.ucf.edu/wp-content/uploads/sites/34/2020/11/ucf_79718567_Medium.jpg
UCF Water Tower,WATER TOWER,WT,"28.59779507909751, -81.19690585538193",0,,Other,3987 LIBRA DR.,"The UCF Water Tower, built in 1967, serves as a crucial campus landmark, ensuring a reliable water supply for the University of Central Florida. Its UCF branding and standing nearly 170 feet tall make it instantly recognizable and an essential navigational reference on campus.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b301.jpg
Visitor Information,VISITOR AND PARKING INF.,VPI,"28.596817427041707, -81.2031611931737",0,,Building,4000 CENTRAL FLORIDA BLVD.,"The Visitor and Parking Information Center is located across from the Duke Energy Welcome Center on Gemini Blvd. Visitors can ask for maps, information, and directions before embarking on their campus visit. Alternatively, they could just use our app, Polaris. :) ",https://whartonsmith.com/wp-content/uploads/2023/07/UCF-Visitor-and-Parking-Info-Center-1280x0-c-default_web.jpg
Visual Arts Building,,VAB,"28.602778847464826, -81.20383529324235",0,,Building,12400 AQUARIUS AGORA DR.,"The Visual Arts Building, built in 1990 and opened in 1992, houses art studios, lecture halls, and exhibition spaces. Despite a cost overrun to $8.6 million, it initially lacked essential classroom amenities. In 2010, the Visual Arts Building II expanded the College of Arts & Humanities, serving students from various universities.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b51.jpg
Wayne Densch Sport Center,WAYNE DENSCH SPORTS CENTER,WDSC,"28.606114489847986, -81.19421970710098",0,,Building,4180 N. ORION BLVD.,"In 1985, Wayne Densch donated $1 million to UCF for athletic scholarships, and the complex was named after him. In 2003, a new Wayne Densch Sports Center, costing $5.2 million, was completed, with Densch contributing $2.5 million. The center houses UCF's football program and features modern sports medicine facilities and athletic amenities.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b77.jpg
Welcome Center,DUKE ENERGY UNIVERSITY WELCOME CENTER,UWC,"28.59790334799203, -81.20296054416477",0,,Building,12585 GEMINI BLVD. S.,"UCF's Duke Energy Student Welcome Center, established in August 2004, cost $4.4 million and offers a technology-driven, paperless admissions process. It houses the Office of Undergraduate Admissions, a 200-seat multipurpose room, and a relocated Visitors Information Booth.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/b96.jpg
West Bus Loop,,,"28.60056687209667, -81.20468775128434",0,,Other,12370 LEO LN.,"The West Bus Loop, a central hub for campus transportation, provides convenient access to various shuttle services, facilitating student and staff mobility.",
Writing Center,,,"28.604362960488697, -81.20186257837366",0,,Other,,"The Writing Center offers academic support to students, assisting with writing assignments, research, and communication skills. It fosters writing proficiency and aids in the development of effective writing abilities.",https://www.ucf.edu/wp-content/blogs.dir/16/files/2023/07/uwc-1.jpg
Virtual,"zoom,online",,"0, 1",,,,,Virtual,
Other,,,"0, 0",,,,,Somewhere some place,
